# Time(ps) CRYO_average_angle(degrees) CRYO_std
9.000000000000000000e+04 4.171302658403723740e+01 7.516189948746079708e+00
9.100000000000000000e+04 4.206914139481213510e+01 6.089060260556636628e+00
9.200000000000000000e+04 4.323619400301340221e+01 5.916532692416188510e+00
9.300000000000000000e+04 4.146103421814886048e+01 6.702682416611951410e+00
9.400000000000000000e+04 4.018593043003131982e+01 5.037988133990087825e+00
9.500000000000000000e+04 4.075689352907335206e+01 4.072258410341171420e+00
9.600000000000000000e+04 3.941726800567761302e+01 4.965767246968112225e+00
9.700000000000000000e+04 4.038106776660188046e+01 3.608254429805775931e+00
9.800000000000000000e+04 4.251215822364109442e+01 4.262279454860862238e+00
9.900000000000000000e+04 4.079790404497312295e+01 5.301732937191180106e+00
1.000000000000000000e+05 4.234139814199095042e+01 4.476152323419331225e+00
1.010000000000000000e+05 4.189292150689736616e+01 6.498949160753682008e+00
1.020000000000000000e+05 4.248599924449905529e+01 5.265243483117259871e+00
1.030000000000000000e+05 4.278378862496821000e+01 5.902947707219261098e+00
1.040000000000000000e+05 4.096149408038034778e+01 6.263674345041786218e+00
1.050000000000000000e+05 4.329394503407299055e+01 1.064367164541663335e+01
1.060000000000000000e+05 4.190778717597451219e+01 5.675995343542007632e+00
1.070000000000000000e+05 4.365507672214026513e+01 6.981110596518568023e+00
1.080000000000000000e+05 3.945436522560528658e+01 6.024422259728000384e+00
1.090000000000000000e+05 4.155624697132080314e+01 5.116022731001976354e+00
1.100000000000000000e+05 4.466387213191991634e+01 4.137791993332713858e+00
1.110000000000000000e+05 4.057182084728325577e+01 3.419384267238630759e+00
1.120000000000000000e+05 3.803613647163202671e+01 6.885927952175346256e+00
1.130000000000000000e+05 3.898168707662314603e+01 4.551374998934992533e+00
1.140000000000000000e+05 4.222003205069523801e+01 4.614668035742602648e+00
1.150000000000000000e+05 3.734878209821937389e+01 3.885110763371884879e+00
1.160000000000000000e+05 3.922228209163640145e+01 8.344960001133030048e+00
1.170000000000000000e+05 4.188107750053239897e+01 8.926320804833066447e+00
1.180000000000000000e+05 3.800897210233894441e+01 4.585644086343236836e+00
1.190000000000000000e+05 3.907737237814974662e+01 7.929039873114335890e+00
1.200000000000000000e+05 3.894661360475338086e+01 5.690152661664518163e+00
1.210000000000000000e+05 3.819541025823279767e+01 6.861350833703583341e+00
1.220000000000000000e+05 3.802291584284655102e+01 6.867589490322419721e+00
1.230000000000000000e+05 3.835416967404096056e+01 5.896610925478819709e+00
1.240000000000000000e+05 3.866229455384515035e+01 4.936554236685261721e+00
1.250000000000000000e+05 4.219082790420871021e+01 6.682194036605281440e+00
1.260000000000000000e+05 4.109276012618347096e+01 6.250944293417092013e+00
1.270000000000000000e+05 3.902230466485531934e+01 7.212683904354786790e+00
1.280000000000000000e+05 3.751915648975407436e+01 6.327542673627193359e+00
1.290000000000000000e+05 3.998909924333448629e+01 7.773889410073237194e+00
1.300000000000000000e+05 4.075630936587319297e+01 1.027469353315635203e+01
1.310000000000000000e+05 4.171348477426257517e+01 9.444197809767668872e+00
1.320000000000000000e+05 4.030282264197299469e+01 7.686637769374224938e+00
