system,type,frame,time_ps,selected_resids,volume_A3
CRYO-1,CRYO,99,99000.0,"555,368,373,551,674,600",1207.5927690893056
CRYO-1,CRYO,100,100000.0,"555,368,373,551,674,600",1156.8279190080007
CRYO-1,CRYO,101,101000.0,"555,368,373,551,674,600",1156.9538552483427
CRYO-1,CRYO,102,102000.0,"555,368,373,551,674,600",1187.4001498510793
CRYO-1,CRYO,103,103000.0,"555,368,373,551,674,600",1221.4234994862288
CRYO-1,CRYO,104,104000.0,"555,368,373,551,674,600",1184.704756123006
CRYO-1,CRYO,105,105000.0,"555,368,373,551,674,600",1262.565341715611
CRYO-1,CRYO,106,106000.0,"555,368,373,551,674,600",1197.4356703754293
CRYO-1,CRYO,107,107000.0,"555,368,373,551,674,600",1230.5513142082455
CRYO-1,CRYO,108,108000.0,"555,368,373,551,674,600",1218.7203157486724
CRYO-1,CRYO,109,109000.0,"555,368,373,551,674,600",1199.0820647538233
CRYO-1,CRYO,110,110000.0,"555,368,373,551,674,600",1254.1737484047633
CRYO-1,CRYO,111,111000.0,"555,368,373,551,674,600",1207.1798452213725
CRYO-1,CRYO,112,112000.0,"555,368,373,551,674,600",1238.3420946807134
CRYO-1,CRYO,113,113000.0,"555,368,373,551,674,600",1236.7015433169952
CRYO-1,CRYO,114,114000.0,"555,368,373,551,674,600",1221.5471296019525
CRYO-1,CRYO,115,115000.0,"555,368,373,551,674,600",1193.541735136534
CRYO-1,CRYO,116,116000.0,"555,368,373,551,674,600",1223.6462587281237
CRYO-1,CRYO,117,117000.0,"555,368,373,551,674,600",1206.401681535545
CRYO-1,CRYO,118,118000.0,"555,368,373,551,674,600",1165.994679593617
CRYO-1,CRYO,119,119000.0,"555,368,373,551,674,600",1208.992395961113
CRYO-1,CRYO,120,120000.0,"555,368,373,551,674,600",1160.4915431992858
CRYO-1,CRYO,121,121000.0,"555,368,373,551,674,600",1157.2339926725354
CRYO-1,CRYO,122,122000.0,"555,368,373,551,674,600",1241.9494404340423
CRYO-1,CRYO,123,123000.0,"555,368,373,551,674,600",1210.5482666271237
CRYO-1,CRYO,124,124000.0,"555,368,373,551,674,600",1220.9001835106296
CRYO-1,CRYO,125,125000.0,"555,368,373,551,674,600",1237.394574120723
CRYO-1,CRYO,126,126000.0,"555,368,373,551,674,600",1185.0492608519912
CRYO-1,CRYO,127,127000.0,"555,368,373,551,674,600",1163.853589447577
CRYO-1,CRYO,128,128000.0,"555,368,373,551,674,600",1204.5179290623905
CRYO-1,CRYO,129,129000.0,"555,368,373,551,674,600",1237.8111048335268
CRYO-1,CRYO,130,130000.0,"555,368,373,551,674,600",1224.4032357580102
CRYO-1,CRYO,131,131000.0,"555,368,373,551,674,600",1227.4128668508922
CRYO-1,CRYO,132,132000.0,"555,368,373,551,674,600",1225.0565538492358
CRYO-1,CRYO,133,133000.0,"555,368,373,551,674,600",1193.1047382685506
CRYO-1,CRYO,134,134000.0,"555,368,373,551,674,600",1192.45851937439
CRYO-1,CRYO,135,135000.0,"555,368,373,551,674,600",1155.4220991305208
CRYO-1,CRYO,136,136000.0,"555,368,373,551,674,600",1135.2894955738566
CRYO-1,CRYO,137,137000.0,"555,368,373,551,674,600",1213.7130140077645
CRYO-1,CRYO,138,138000.0,"555,368,373,551,674,600",1209.5446374725589
CRYO-1,CRYO,139,139000.0,"555,368,373,551,674,600",1136.2466897154513
CRYO-1,CRYO,140,140000.0,"555,368,373,551,674,600",1123.28314054331
CRYO-1,CRYO,141,141000.0,"555,368,373,551,674,600",1145.2745195843147
CRYO-1,CRYO,142,142000.0,"555,368,373,551,674,600",1204.0896082271527
CRYO-1,CRYO,143,143000.0,"555,368,373,551,674,600",1194.1583800377784
CRYO-1,CRYO,144,144000.0,"555,368,373,551,674,600",1246.9410520489612
CRYO-1,CRYO,145,145000.0,"555,368,373,551,674,600",1250.9878985705907
CRYO-1,CRYO,146,146000.0,"555,368,373,551,674,600",1232.724654148107
CRYO-1,CRYO,147,147000.0,"555,368,373,551,674,600",1175.8555343691414
CRYO-1,CRYO,148,148000.0,"555,368,373,551,674,600",1171.7008270242748
CRYO-1,CRYO,149,149000.0,"555,368,373,551,674,600",1244.2382811906452
CRYO-1,CRYO,150,150000.0,"555,368,373,551,674,600",1210.9612280760603
CRYO-1,CRYO,151,151000.0,"555,368,373,551,674,600",1251.4777279576942
CRYO-1,CRYO,152,152000.0,"555,368,373,551,674,600",1239.8703333705462
CRYO-1,CRYO,153,153000.0,"555,368,373,551,674,600",1193.904359413241
CRYO-1,CRYO,154,154000.0,"555,368,373,551,674,600",1225.221472277463
CRYO-1,CRYO,155,155000.0,"555,368,373,551,674,600",1212.2492668930324
CRYO-1,CRYO,156,156000.0,"555,368,373,551,674,600",1230.224275918262
CRYO-1,CRYO,157,157000.0,"555,368,373,551,674,600",1202.1784256116903
CRYO-1,CRYO,158,158000.0,"555,368,373,551,674,600",1217.4120216595115
CRYO-1,CRYO,159,159000.0,"555,368,373,551,674,600",1185.032896258466
CRYO-1,CRYO,160,160000.0,"555,368,373,551,674,600",1221.9794675996973
CRYO-1,CRYO,161,161000.0,"555,368,373,551,674,600",1184.5129113566225
CRYO-1,CRYO,162,162000.0,"555,368,373,551,674,600",1232.6452696430806
CRYO-1,CRYO,163,163000.0,"555,368,373,551,674,600",1210.3733021940068
CRYO-1,CRYO,164,164000.0,"555,368,373,551,674,600",1215.6765119914119
CRYO-1,CRYO,165,165000.0,"555,368,373,551,674,600",1221.3359398874752
CRYO-1,CRYO,166,166000.0,"555,368,373,551,674,600",1221.5878550060086
CRYO-1,CRYO,167,167000.0,"555,368,373,551,674,600",1168.4387287567376
CRYO-1,CRYO,168,168000.0,"555,368,373,551,674,600",1205.6698662472775
CRYO-1,CRYO,169,169000.0,"555,368,373,551,674,600",1215.349936145874
